Identifier,Title,Date of Publication,Place of Publication
1914892,"Just as I am. A novel, by the author of Lady Audley's Secret, etc. [M. E. Braddon.]",1880,London
1916239,"Juvenal's tenth and thirteenth Satires, translated by E. L. Swift: Satiræ Selectæ. English",1818,London
1916251,"Translations of the First Satire of Juvenal and Johnson's Latin poems. By Rev. J. Henry, A.M: Satiræ Singulæ",1869,Belfast
1916314,"Seventeen Hundred and Ninety-one: a poem, in imitation of the thirteenth Satire of Juvenal. By A. Murphy: Imitations and Parodies",1791,London
1916390,Brent Knoll. A night thought [in verse]. By Juvenis [i.e. J. W. Stephenson?],1837,Bridgwater
1916714,"Veneellä poikki Suomenniemen. Seikkailuja Pohjanmaan vesillä ja saloilla kertoeli Arvo K. [i.e. Emil Arvid Korhonen], etc",1895,Helsingissä
1916830,"Danmarks Kamp for Slesvig i Aarene 1848, 49 og 50. Efter nogle Frivilliges Papirer, beskreven af F. K. [i.e. J. F. C. Knudsen.]",1852,Kjøbenhavn
1916949,A Modern Pilgrimage. [A tour in Palestine.] By H. M. M. K[nipe],1871,London
1917068,Henry Ancrum. A tale of the last War in New Zealand. By J. H. K. [i.e. J. H. Kirby.],1872,London
1917765,"Io triumphe! A song of victory on our glorious entry into Cabul; to which is added, the Massacre of Cabul. [By C. J. Cruttwell.]",1842,London
1918158,Die Riviera: Wanderziele und Winterasyle der ligurischen Küste von Nizza bis Spezia. Von W. Kaden und H. Nestel,1884,Stuttgart
1921697,"The Mégha Dúta; or, Cloud Messenger; a poem ... Translated into English verse, with notes and illustrations, by H. H. Wilson, etc: Meghadūta. English",1814,London
1922832,"Kalm's account of his visit to England on his way to America in 1748. [Extracted from “En Resa til Norra America.”] Translated by Joseph Lucas. With two maps, etc",1892,London
1923159,"Der Beobachter. Allgemeine Anleitung zu Beobachtungen über Land und Leute. [A translation, with modifications, of the “Manuel du Voyageur.”] ... Von D. K. ... und E. Kollbrunner ... Zweite ... vermehrte Auflage. Mit ... einem systemat. Fragenverzeichniss über Beobachtungen auf Reisen",1888,Zürich
1923579,"Сборникъ историческихъ матеріаловъ, извлеченныхъ изъ древнихъ актовыхъ книгъ Кіевскаго Центральнаго Архива при Университетѣ Св. Владиміра И. Каманинымъ и М. Истоминымъ. Вып. 1",1890,Кіевъ
1924380,"Afrika en deszelfs Bewoners, etc. [Intended as part of a continuation of E. A. W. von Zimmerman's work: “De Aarde en hare Bewoners.”]",1828,Haarlem
1924397,"Gezigten in Holland en Belgie, naar teckeningen op de plaats zelve vervaardigd, door W. H. Bartlett. Met historische en plaatselijke beschrijving van N. G. van K",1837,Amsterdam
1925023,"The Past and Present of Kane County, Illinois, containing a history of the County-its Cities, Towns, &c. [by H. B. Peirce, A. Merrill and W. H. Perrin]. A directory, etc. Illustrated",1878,Chicago
1925648,"Karl v. und Maximilian Egmont, Graf von Büren. Ein Beitrag zur Geschichte des schmalkaldischen Krieges",1895,Freiburg i. B
1925912,[Critick of Pure Reason; translated from the original of I. Kant [by F. Haywood].]: [Critik der reinen Vernunft.],1848,London
1926212,De provincie Zeeland. (Bijlagen.-Nalezing.),1824,Middelburg
1926433,Des Thomas Kantzow Chronik von Pommern in hochdeutscher Mundart. Herausgegeben von G. Gaebel,1897,Stettin
1926534,"Voyage pittoresque et industriel dans le Paraguay-Roux et la palingénesie australe; par Tridace-Nafé-Théobrôme de Kaout' t' chouk, Gentilhomme Breton, etc",1835,Au Meschacébé Mons
1927781,Enchanted India. (Translated by C. Bell.),1899,London
1928017,"Geschichte Russlands nach Karamsin. ... Von Dr A. W. Tappe. (Nach dessen Tode vollendet von C. v. Goldbach.) [An enlarged German edition of Tappe's: “Сокращеніе Россійской Исторіи Н. М. Карамзина,] etc.”: Исторія государства россійскаго",1828,Dresden
1929761,Gotham and the Gothamites. New York and the New Yorkers. Translated by F. C. Valentine,1887,London
1929826,Собраніе сочиненій относящихся къ исторіи тверскаго края. Приготовилъ къ изданію ... Вл. Колосовъ,1893,Тверь
1930129,"История на деветнадесетия вѣкъ, съ образи. Отъ Павла Каролиди. Том I: отъ 1814-1830 година. Прѣвелъ отъ гърцки Д. В. Македонский. [With illustrations.]",1896,София
1930766,Achtzehn Jahre in Südafrika. Erlebnisse und Abenteuer eines Schweden im Goldlande. Autorisierte Übersetzung aus dem Schwedischen von F. von Känel,1899,Leipzig
1930912,"The Witness Box; or, the murder of Mr. A. B. C. ([A novel.] Seventh thousand.)",1890,London
1932902,"Katherine and her Sisters. By the author of “The Discipline of Life” [i.e. Lady E. C. M. Ponsonby], etc",1861,London
1933686,"München unter den Vierherzog-Regierung 1397-1403, nach einer gleichzeitigen Denkschrift des Bürgermeisters J. K. Gelesen in der Königl. Akademie der Wissenschaften ... von J. A. Schmeller",1833,München
1934234,"In wie weit darf die Geschichtschreibung subjectiv sein? Eine Untersuchung mit besonderer Berücksichtigung von B. Erdmannsdörffer zur Geschichte und Geschichtschreibung des dreissigjährigen Krieges in H. v. Sybel's Historischer Zeitschrift, etc",1870,Göttingen
1935235,Forget-me-nots. [Tales. With preface by C. W. W.],1878,London
1935285,"The Wanderings of Lucan and Dinah; a poetical romance, in ten cantos. By M. P. K. With a prefatory view of the poem, by M. M'Dermot",1824,London
1938040,"[The General History of Ireland ... Collected by ... J. K. ... translated from the original Irish ... with ... amendments by D. O'Connor ... Illustrated with ... coats of arms, etc. (The Genealogy of the Posterity of H. Fionn, ... The posterity of Ir, etc.)]",1809,Dublin
1938041,"[The General History of Ireland ... Collected by ... J. K. ... translated from the original Irish ... with ... amendments by D. O'Connor ... Illustrated with ... coats of arms, etc. (The Genealogy of the Posterity of H. Fionn, ... The posterity of Ir, etc.)]",1857,New York
1938095,With General Grant in the East,1879,Philadelphia
1938176,"[Narrative of an Expedition to the source of St. Peter's River, Lake Winnepeck, Lake of the Woods, etc. performed ... by order of the Secretary of War under the command of S. H. Long.]",1825,London
1938242,"The Poetical Works of John Keats. With a memoir by Richard Monckton Milnes. Illustrated by 120 designs, original and from the antique, drawn on wood by George Scharf, Jun: Poetical Works",1854,London
1938245,"The Poetical Works of John Keats. Edited, with a critical memoir, by William Michael Rossetti. Illustrated by Thomas Seccombe: Poetical Works",1872,London
1938256,The Poetical Works of John Keats. Edited by William T. Arnold: Poetical Works,1884,London
1938260,The Poetical Works of John Keats. Edited by William B. Scott. With an introductory memoir: Poetical Works,1893,London
1938261,The Poetical Works of John Keats. Edited by William B. Scott. With an introductory memoir: Poetical Works,1894,London
1938263,the Poetical Works of John Keats ... Edited by H. Buxton Forman. Fourth edition. Illustrated [by W. H. Low and others]: Poetical Works,1895,London
1938348,"Poems by John Keats ... Edited, with introduction and notes, by Arlo Bates: Single Works. Selections",1896,Boston
1938479,The Eve of St. Agnes. (Illustrated by Edmund H. Garrett.): Single Poems,1885,Boston
1938502,"Isabella, or The Pot of Basil ... Illustrated and decorated by W. B. Macdougall: Single Poems",1898,London
1938510,Lamia ... With illustrative designs by Will H. Low: Single Poems,1888,London
1938652,"[The Christian Year, etc. [With a portrait.]]: Single Works",1874,London
1938653,"[The Christian Year, etc. [With a portrait.]]: Single Works",1875,London
1938692,"Keble's Evening Hymn [from the “Christian Year”], illustrated by E. Waring: The Christian Year",1865,London
1938770,The Keble Autograph Birthday Book. [Containing selections from J. K.'s poetry.] With floral illustrations. By E. L. M: Selections,1880,London
1939016,Maclure and Macdonald's series of guide to the Highlands of Scotland. By W. K,1859,Glasgow
1939565,"In Arctic Seas. The voyage of the “Kite” with the Peary expedition together with a transcript of the log of the “Kite” ... Illustrated, etc",1893,London
1939649,Ophelia Keen!! A dramatic legendary tale. [By G. Daniel. An attack on Edmund Kean and Ophelia Benjamin.] MS. notes [by G. Daniel.],1829,London
1940699,[The History of Greece.],1848,New York
1940701,Ἱστορια της ἀρχαιας Ἑλλαδος ... Ἐκδοσις πεμπτη. Μεταφρασθεισα δε και ἐκδοθεισα ὑπο Σπυριδωνος Ἀντωνιαδου,1850,Ἐν Ἀθηναις
1940709,[The History of Rome.],1848,New York
1941033,Sheridan's Troopers on the Borders: a winter campaign on the plains ... With ... engravings,1870,Philadelphia
1941961,"Liefländische Historia. Continuation 1690 bis 1707. ... Mit Vorwort, Nachweisen und Personenregister versehen von J. Lossius",1875,Dorpat
1942104,Hongrie. Exposé géographique et statistique ... rédigé en collaboration de plusieurs spécialistes par C. K. ... Traduit [from the Hungarian] par f. Schwiedland,1873,Pest
1944264,"Ned Kelly, the ironclad Australian Bushranger. By J. S. Borlase",1887,London
1945554,The World's Great Explorers and Explorations. Edited by J. S. Keltie ... H. J. Mackinder ... and E. G. Ravenstein,1889,London
1945818,[The Saxons in England. A history of the English Commonwealth till the period of the Norman Conquest.],1876,London
1946736,Vlaemsche Kronijk of dagregister van al het gene gedenkweerdig voorgevallen is binnen de stad Gent sedert den 15 July 1566 tot 15 Juny 1585; onderhouden in 't Latijn door P. de K.; overgezet door J. P. van Male ...; thans voor de eerste mael uitgegeven door P. B(lommaert),1839,Brussel
1947126,Crispin Ken. By the Author of “Miriam May” [i.e. Arthur Robins]. Cheap edition,1861,London
1947127,[Crispin Ken. By the Author of “Miriam May” [i.e. Arthur Robins]. Cheap edition.],1861,London
1948373,"Robert the Bruce. A poem. ... Illustrated by J. Faed, junr",1884,London
1948591,"Corn in the Blade. Poems, and thoughts in prose ... With an introduction by C. B. Conant",1860,New York
1949212,"Kate Kennedy. A novel. By the Author of “Wondrous Strange,” etc. [Miss Barry.]",1865,London
1949483,"A Journey in Khorassan and Central Asia. March and April, 1890. [With a map.]",1890,London
1949895,"Un voyage a Calais, Guines, Ardres et St.-Omer en 1682. Extrait du journal de White Kennet. ... Publié et annoté par C. Landrin",1893,Paris
1950496,"A Letter to David Garrick, Esq. from William Kenrick. (Love in the Suds;a town eclogue. Being the lamentation of Roscius for the loss of his Nyky ... With annotations by the editor [or rather author, W. Kenrick].) [A satire upon David Garrick and Isaac Bickerstaffe.]",1772,London
1950497,"A letter to D. Garrick. ... The second edition. (Love in the Suds; a town eclogue. Being the lamentation of Roscius for the loss of his Nyky. ... With annotations by the editor [or rather Author, W. K.,]; and an Appendix, containing queries and answers relative to the personal satisfaction pretended to have been required of the Author of the above Eclogue, by ... Roscius.) [A satire upon David Garrick and Isaac Bickerstaffe.]",1772,London
1950583,"Assessments in Kent for the Aid to Knight the Black Prince, Anno 20. Edward III. Edited by J. Greenstreet. Reprinted from “Archæologia Cantiana.” vol. x: Official Documents",1876,London
1950588,"The Domesday Book for the County of Kent, being that portion of a Return of Owners of Land in England and Wales ... in the year 1873, which refers to the County of Kent ... Corrected ... with introductory remarks. By W. E. Baxter, etc: Official Documents",1877,Lewes
1950613,"1865. The Poll for Two Knights of the Shire to represent the Western Division of ... Kent ... Compiled ... by William Hall, etc: Official Documents",1866,London
1951539,Hudibrastic History of Amherst's Embassy to China. (Illustrated by R. Cruikshank.),1840,London
1952716,"The Expedition to Borneo of H.M.S. Dido for the suppression of Piracy; with extracts from the Journal of J. Brooke Esq., of Sarawak",1846,London
1952723,"A visit to the Indian Archipelago, in H.M.S. Mæander, with portions of the private journal of Sir James Brooke ... with illustrations by O. W. Brierly",1853,London
1953523,Krónika Magyarország polgári és egyházi közéletéből a 18-dik szazad végen. H. J. egykorú erediti naplója. [Edited by E. Hoffer.],1868,Pest
1953752,"A practical Treatise on Metallurgy, adapted from the last German edition of Professor K.'s Metallurgy, by W. Crookes and E. Röhrig ... Illustrated, etc",1868,London
1953757,"The Assayer's Manual. An abridged treatise on the docimastic examination of ores, and furnace and other artificial products ... Translated from the German by W. T. Brannt ... Second American edition, edited with extensive additions by F. L. Garrison, etc",1889,Philadelphia
